Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;0;1;r;Rifer. D.D.T. n¡ 1.274 del 03/03/2023;;;;;;
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;310.39;2;9788873349266;aa.vv. GIALLO VERDE BLU CL.1_Maiusc_completo;12.81;30;384.3;20;Û 310,39;74
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;0;3;r;Rifer. D.D.T. n¡ 1.371 del 07/03/2023;;;;;;
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;1241.57;4;9788873349266;aa.vv. GIALLO VERDE BLU CL.1_Maiusc_completo;12.81;120;1537.2;20;Û 1.241,57;74
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;1165.24;5;9788873348917;aa.vv. VOCE TERRA PIU' CL.4 intero completo;20.61;70;1442.7;20;Û 1.165,24;74
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;0;6;r;Rifer. D.D.T. n¡ 1.471 del 09/03/2023;;;;;;
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;401.98;7;9788873348597;aa.vv. InvestigaTESTO CL. 4+ Insieme Mondo;16.59;30;497.7;20;Û 401,98;74
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;0;8;r;Rifer. D.D.T. n¡ 1.548 del 15/03/2023;;;;;;
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;70.03;9;9788873349303;aa.vv. GIALLO VERDE BLU CL.1 - Metodo 4 Carat;2.89;30;86.7;20;Û 70,03;74
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;535.98;10;9788873348597;aa.vv. InvestigaTESTO CL. 4;16.59;40;663.6;20;Û 535,98;74
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;0;11;r;Rifer. D.D.T. n¡ 1.824 del 22/03/2023;;;;;;
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;724.89;12;9788873349358;aa.vv. GIALLO VERDE BLU CL.2_completo;17.95;50;897.5;20;Û 724,89;74
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;2900.38;13;9788873349365;aa.vv. GIALLO VERDE BLU CL.3_completo;25.65;140;3591;20;Û 2.900,38;74
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;0;14;r;Rifer. D.D.T. n¡ 2.081 del 31/03/2023;;;;;;
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;812.93;15;9788873348634;aa.vv. InvestigaTESTO CL. 5  (completo);20.13;50;1006.5;20;Û 812,93;74
Gaia Scuola;Nota di debito differita;351/F;31/03/23;8285.84;122.45;16;sp;Spese Trasporto;;;;;122,45 Û;
