Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;0;1;r;Rifer. D.D.T. n¡ 3.494 del 15/06/2022;;;;;;
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;66.2;2;9788873341055;Ventrella IMPARO L'ITALIANO Libro A;8.5;15;127.5;50;66,20 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;44.13;3;9788873341062;Ventrella IMPARO L'ITALIANO Libro B;8.5;10;85;50;44,13 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;66.2;4;9788873341079;Ventrella IMPARO LA MATEMATICA Libro A;8.5;15;127.5;50;66,20 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;44.13;5;9788873341086;Ventrella IMPARO LA MATEMATICA Libro B;8.5;10;85;50;44,13 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;34.27;6;9788873341130;aa.vv. GUIDAGENDA cl 1¡- Il diario settimanale;33;2;66;50;34,27 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;51.92;7;9788873341123;aa.vv. GUIDAGENDA cl 1¡- Lo schedario operativo;50;2;100;50;51,92 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;17.13;8;9788873341246;aa.vv. GUIDAGENDA cl 2¡- Il diario settimanale;33;1;33;50;17,13 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;25.96;9;9788873341239;aa.vv. GUIDAGENDA cl 2¡- Lo schedario operativo;50;1;50;50;25,96 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;51.4;10;9788873341260;aa.vv. GUIDAGENDA cl 3¡- Il diario settimanale;33;3;99;50;51,40 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;41.54;11;9788873341444;aa.vv. GUIDAGENDA cl 4¡- Schedario operativo A;40;2;80;50;41,54 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;31.15;12;9788873341451;aa.vv. GUIDAGENDA cl 4¡- Schedario operativo B;30;2;60;50;31,15 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;45.69;13;9788873341468;aa.vv. GUIDAGENDA cl 4¡ - Il diario settimanale;44;2;88;50;45,69 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;41.54;14;9788873341758;aa.vv. GUIDAGENDA cl 5¡- Schedario operativo A;40;2;80;50;41,54 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;31.15;15;9788873341765;aa.vv. GUIDAGENDA cl 5¡- Schedario operativo B;30;2;60;50;31,15 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;45.69;16;9788873341772;aa.vv. GUIDAGENDA cl 5¡ - Il diario settimanale;44;2;88;50;45,69 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;2.08;17;9788873341659;aa.vv. COMPITI PER L'ESTATE-MATEMATICA 4+narr.;4;1;4;50;2,08 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;88.94;18;9788873340072;Daneri COMPITI DI MAT. PER PROGREDIRE;3.7;50;185;54;88,94 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;88.94;19;9788873340171;Gandolfi COMPITI LING. IT. PER PROGREDIRE;3.7;50;185;54;88,94 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;212.87;20;9788873342748;aa.vv. SOTTO QUESTO SOLE CL. 1 + narr;8.2;50;410;50;212,87 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;0;21;r;Rifer. D.D.T. n¡ 3.696 del 21/06/2022;;;;;;
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;2.08;22;9788873341604;aa.vv. COMPITI PER L'ESTATE-ITALIANO 3+narr.;4;1;4;50;2,08 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;10.38;23;9788873341611;aa.vv. COMPITI PER L'ESTATE-ITALIANO 4+narr.;4;5;20;50;10,38 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;33.23;24;9788873341659;aa.vv. COMPITI PER L'ESTATE-MATEMATICA 4+narr.;4;16;64;50;33,23 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;85.15;25;9788873342755;aa.vv. SOTTO QUESTO SOLE CL. 2 + narr;8.2;20;164;50;85,15 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;35.58;26;9788873340072;Daneri COMPITI DI MAT. PER PROGREDIRE;3.7;20;74;54;35,58 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;35.58;27;9788873340171;Gandolfi COMPITI LING. IT. PER PROGREDIRE;3.7;20;74;54;35,58 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;85.15;28;9788873342748;aa.vv. SOTTO QUESTO SOLE CL. 1 + narr;8.2;20;164;50;85,15 Û;74
Gaia;Nota di debito differita;702/F;30/06/22;1331.26;13.18;29;sp;Spese Trasporto;;;;;13,18 Û;
