Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;1;;Rifer. D.D.T. n¡ 5.216 del 31/08/2023;;;;;;
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;2;9788873349211;AA.VV. VOCE TERRAPIU' CL.4_Guida MATEMATICA;1;16;16;99.99;;74
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;3;9788873349204;AA.VV. VOCE TERRAPIU' CL.4_Guida SCIENZE;1;16;16;99.99;;74
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;4;9788873349198;AA.VV. VOCE TERRAPIU' CL.4_Guida STORIA;1;12;12;99.99;;74
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;5;9788873349181;AA.VV. VOCE TERRAPIU' CL.4_Guida GEO;1;12;12;99.99;;74
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;6;9788873349259;AA VV VOCE TERRAPIU' CL.5_Guida MATEMATICA;1;25;25;99.99;;74
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;7;9788873349242;AA VV VOCE TERRAPIU' CL.5_Guida SCIENZE;1;25;25;99.99;;74
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;8;9788873349228;AA VV VOCE TERRAPIU' CL.5_ Guida STORIA;1;27;27;99.99;;74
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;9;9788873349235;AA VV VOCE TERRAPIU' CL.5_ Guida GEOGRAFIA;1;27;27;99.99;;74
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;10;SOLMATPIU5;aa.vv. VOCE DELLA TERRA PIU' 5 Mate_Libro doc.;0.01;25;0.25;99.99;;74
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;11;9788873348665;aa.vv. PAROLA DI LIBRO! CL. 5 - Guida al testo;0.02;2;0.04;99.99;;74
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;12;9788873346319;aa.vv. POSTER SUSS. LINGUAGGI CL. 5;0.02;2;0.04;99.99;;74
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;13;9788873348672;aa.vv. InvestigaTESTO cl.5 - Guida al testo;0.02;1;0.02;99.99;;74
Gaia Scuola;Nota di debito differita;951/F;31/08/23;0;0;14;INVTSOLLET5;aa.vv. InvestigaTESTO CL.5 Letture-Libro docent;0.01;1;0.01;99.99;;74
