Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;0;1;r;Rifer. D.D.T. n¡ 2.456 del 04/05/2022;;;;;;
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;320.18;2;9788873340072;Daneri COMPITI DI MAT. PER PROGREDIRE;3.7;180;666;54;320,18 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;320.18;3;9788873340171;Gandolfi COMPITI LING. IT. PER PROGREDIRE;3.7;180;666;54;320,18 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;766.41;4;9788873342748;aa.vv. SOTTO QUESTO SOLE CL. 1 + narr;8.2;180;1476;50;766,41 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;355.79;5;9788873340096;Daneri COMPITI DI MAT. PER APPROFONDIRE;3.7;200;740;54;355,79 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;355.79;6;9788873340195;Gandolfi COMPITI LING. IT. PER APPROFONDIRE;3.7;200;740;54;355,79 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;851.57;7;9788873342762;aa.vv. SOTTO QUESTO SOLE CL. 3 + narr;8.2;200;1640;50;851,57 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;0;8;r;Rifer. D.D.T. n¡ 2.656 del 10/05/2022;;;;;;
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;266.84;9;9788873340102;Daneri COMPITI DI MAT. PER POTENZIARE;3.7;150;555;54;266,84 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;266.84;10;9788873340201;Gandolfi COMPITI LING. IT. PER POTENZIARE;3.7;150;555;54;266,84 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;638.68;11;9788873342885;aa.vv. SOTTO QUESTO SOLE CL. 4 + narr;8.2;150;1230;50;638,68 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;355.79;12;9788873340089;Daneri COMPITI DI MAT. PER SCOPRIRE;3.7;200;740;54;355,79 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;355.79;13;9788873340188;Gandolfi COMPITI LING. IT. PER SCOPRIRE;3.7;200;740;54;355,79 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;851.57;14;9788873342755;aa.vv. SOTTO QUESTO SOLE CL. 2 + narr;8.2;200;1640;50;851,57 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;0;15;r;Rifer. D.D.T. n¡ 2.919 del 20/05/2022;;;;;;
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;851.57;16;9788873342755;aa.vv. SOTTO QUESTO SOLE CL. 2 + narr;8.2;200;1640;50;851,57 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;355.79;17;9788873340089;Daneri COMPITI DI MAT. PER SCOPRIRE;3.7;200;740;54;355,79 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;355.79;18;9788873340188;Gandolfi COMPITI LING. IT. PER SCOPRIRE;3.7;200;740;54;355,79 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;425.79;19;9788873342762;aa.vv. SOTTO QUESTO SOLE CL. 3 + narr;8.2;100;820;50;425,79 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;177.88;20;9788873340096;Daneri COMPITI DI MAT. PER APPROFONDIRE;3.7;100;370;54;177,88 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;177.88;21;9788873340195;Gandolfi COMPITI LING. IT. PER APPROFONDIRE;3.7;100;370;54;177,88 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;53.37;22;9788873340065;Daneri COMPITI DI MAT. PER INIZIARE;3.7;30;111;54;53,37 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;53.37;23;9788873340164;Gandolfi COMPITI LING. IT. PER INIZIARE;3.7;30;111;54;53,37 Û;74
Gaia;Nota di debito differita;583/F;31/05/22;8238.44;81.57;24;sp;Spese Trasporto;;;;;81,57 Û;
