Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;1;;Rifer. D.D.T. n¡ 5.319 del 08/09/2023;;;;;;
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;2;ALFMUGVB1;aa.vv. ALFABETIERE NUM MURALI Giallo Verde Blu1;0.01;4;0.04;99.99;;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;3;POSTGVB1;aa.vv. POSTER GIALLO VERDE BLU! CL. 1;0.02;4;0.08;99.99;;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;4;9788873346593;aa.vv. POSTER SUSS. DISCIPL. CL. 4_area matem;0.02;16;0.32;99.99;;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;5;9788873346609;aa.vv. POSTER SUSS. DISCIPL. CL. 4_area antrop;0.02;12;0.24;99.99;;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;6;SOLMATPIU4;aa.vv. VOCE TERRA PIU 4 Mate_Libro doc. soluz;0.01;16;0.16;99.99;;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;7;9788873346913;aa.vv. POSTER SUSS. DISCIPL.  CL. 5_area matem;0.02;25;0.5;99.99;;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;8;9788873346920;aa.vv. POSTER SUSS. DISCIPL.  CL. 5_area antrop;0.02;27;0.54;99.99;;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;9;SOLGRAM5;aa.vv. PAROLA DI LIBRO 5 Gramm_Libro doc. soluz;0.01;2;0.02;99.99;;74
Gaia Scuola;Nota di debito differita;1092/F;30/09/23;6390.22;0;10;INVTSOLGRAM5;aa.vv. InvestigaTESTO CL.5 Gramm-Libro doc. sol;0.01;2;0.02;99.99;;74
