Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;0;1;;Rifatturazione giacenza;;;;;;
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;112.06;2;9788873340072;Daneri COMPITI DI MAT. PER PROGREDIRE;3.7;63;233.1;54;112,06 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;69.37;3;9788873340089;Daneri COMPITI DI MAT. PER SCOPRIRE;3.7;39;144.3;54;69,37 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;33.8;4;9788873340096;Daneri COMPITI DI MAT. PER APPROFONDIRE;3.7;19;70.3;54;33,80;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;138.74;5;9788873340102;Daneri COMPITI DI MAT. PER POTENZIARE;3.7;78;288.6;54;138,74 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;1.78;6;9788873340164;Gandolfi COMPITI LING. IT. PER INIZIARE;3.7;1;3.7;54;1,78 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;138.74;7;9788873340171;Gandolfi COMPITI LING. IT. PER PROGREDIRE;3.7;78;288.6;54;138,74 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;60.48;8;9788873340188;Gandolfi COMPITI LING. IT. PER SCOPRIRE;3.7;34;125.8;54;60,48 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;72.93;9;9788873340195;Gandolfi COMPITI LING. IT. PER APPROFONDIRE;3.7;41;151.7;54;72,93 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;136.98;10;9788873340201;Gandolfi COMPITI LING. IT. PER POTENZIARE;3.7;77;284.9;54;136,98 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;14.23;11;9788873340218;Gandolfi PRIMI PASSI nella lingua italiana;3.7;8;29.6;54;14,23 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;64.9;12;9788873340256;aa.vv. LAB. MATEMATICA + PERCORSO 1¡ LIV.;25;5;125;50;64,90 Û;74
Gaia;Nota debito giac.inizio anno;55/F;03/01/22;6246.62;98.65;13;9788873340508;aa.vv. LAB. MATEMATICA + PERCORSO 2¡ LIV.;38;5;190;50;98,65 Û;74
